RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
1274,Oceana County,Michigan,1104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72000,74600,81900,88200,89400,98900,97500,96400,100300,101900,106500,92700,95100,92100,92500,98200,116500,118800,111800,97800,92400,96300,91500,99500,90100,103100,106300,115800,105100,92700,98900,95600,125200,130500,
2974,Montgomery County,Kentucky,1105,,,,,,,,,,,,,,92000,88100,95000,85600,92500,89100,101700,95600,98500,86700,95400,94700,108700,105200,104200,93400,101600,98800,107400,93300,103300,90000,83400,67000,72100,76900,73900,88100,90900,94500,78800,93000,97300,103000,91600,95600,93500,91700,95900,94600,94600,87300,97600,87900,102100,98900,102200,94500,93900,105900,103900,110400,113100,114800,106400,102800,102800,94000,101300,105200,121400,118200,119700,110100,109800,105000,114800,119300,123200,125600,120600,117400,111500,114500,119300,118700,118700,119300,117100,116000,112100,113100,112000,100800,104900,111400,123700,124200,109600,111000,116000,126400,129300,147300,147400,161400,138000,140100,124000,126600,125500,128500,129400,130600,129600,116200,119800,120100,129800,125400,111000,112200,114400,141100,140200,142900,144200,144300,141100,136200,135500,145000,151300,169900,170300,165600,151700,144600,134800,127900,132000,139400
3133,San Jacinto County,Texas,1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125100,119000,112900,136500,127400,125000,122000,134500,130400,119400,137600,132400,141000,129100,140300,149300,164500,188100,179200,162700,151700,140400,127500,107900,104000,101900,111700,124100,135100,123500,111400,129000,146500,132500,135100,146000,159500,137000,130400,149000,175200,175700,177800,180100,191400
391,Boone County,Iowa,1107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96800,103900,104400,105200,108600,117800,130300,137300,137600,125100,114800,108900,109500,113200,117800,136500,139000,131400,116800,114100,118700,124200,131800,129900,128000,123100,127900,132600,133100,134000,138800,141800,151000,143100,139500,125400,119200,120100,116100,129600,132200,136900,134700,147200,152200
3263,Winchester City,Virginia,1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144000,145000,140700,133200,130100,152700,148600,166500,154300,177800,172200,190500,195000,201400,191800,192000,177000,171900,178100,182200,177000,161000,143300,137900,151500,168600,174500,169300,161800,161000,174700,190700,204400,222000,223700,203000,173100,169900,192800,180100,175200,193100,192400,196200,175700,191200,189400,179400,175800,180200,194200,200700,209500,210100,222300,223200,242900,237900,238900,229200,229000,216000,203900,219000,258500,268700,240300,214700,204100,222300,231600,249400,246000,243600,221700,221000,226500,234000,228300,212100,193200,211600,212600,233100,205000,196700,183000,187000,201000,215100,233200,245900,271800,295100,275400
2683,Dickinson County,Michigan,1109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70500,75100,75700,71500,67500,69600,73000,71400,72000,70300,72000,71800,80100,78800,77900,70900,76400,79000,84300,80100,87600,85900,87300,80100,78500,79500,77200,76400,82300,86900,91600,95400,96900,96600,87400,94300,94700,95200,95000,96600,103400,102000
2738,Jefferson County,Idaho,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158900,168000,172700,175700,175300,163500,164400,155900,150500,150600,169700,189400,184700,178800,175800,177900,173300,174300,173600,174900,163600,167000,169500,177000,179200,184500,184700,183300,181600,186900,182400,184000,201600,206800,209200,187200,188500,178100,183100,183700,198700,205100,212000,202600,198600,223900,229400,244900,220500,222500,207500,198200,207700,208200,225500,227000,233500,228000,218200,220400,223100,234200,239900,248700,237600,235300,222300,233700,241800,238600,251100,264200,282900,275000,260500,287700,289600,303800,274700,285200,280800,313800,325400
2965,Mille Lacs County,Minnesota,1111,134700,123600,126200,112800,105800,98800,105400,103400,104000,92200,90400,87300,95500,101000,98000,87300,87000,90400,102100,97700,94100,89000,87500,82900,81700,80900,82200,83100,82100,83100,88000,87300,103400,105300,100600,88300,82900,92000,87100,75700,74000,85000,89700,95800,85600,93400,92300,90900,81600,77600,80500,86000,91200,96300,98300,100500,102200,101700,96800,99200,98700,101400,98300,105000,107600,115200,114200,115500,111600,110200,112000,110700,116500,109900,113200,108300,118300,121600,126800,126200,126300,133200,132900,131000,128300,131700,138300,137700,130000,128900,134700,146800,149700,149400,150000,148400,143300,142100,137100,143300,133200,139100,135800,147000,149300,153900,156000,158800,156500,157300,157900,162000,162600,160400,155800,157000,158000,162000,164300,173500,179900,182300,174500,167600,158400,162700,168500,179300,178000,176000,178100,183600,187500,191500,190600,191800,180100,173200,170100,172600,177900,176300,175600,,
865,Benton County,Iowa,1112,,,,,,,,,,,,,,,,,,,103600,114600,103100,106200,99600,105300,98300,103400,112600,124200,131500,141200,150400,129200,110900,104700,113400,96900,95200,96400,102100,98500,97500,114400,115900,126900,107300,117200,118300,127300,105700,101600,101100,107700,101500,101400,101700,105600,112700,130100,135600,133000,115300,113200,125600,135500,132300,116000,112000,117600,120400,117300,115800,115500,122700,115800,116200,104700,108900,118200,120000,118000,129000,137900,139000,120700,135200,142100,141600,126000,120200,114200,117900,127600,128300,114600,111800,126200,127800,143900,130100,143700,125500,134200,122300,124000,124000,126300,135200,119600,121300,109900,125100,126900,136700,132800,139600,133000,136000,138600,134900,118900,119300,124600,143000,134800,137900,144500,149900,141100,136900,154100,155700,152700,139900,132700,122700,122000,130600,142500,132700,130100,137700,141700,,,
746,Texas County,Missouri,1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91500,87500,90600,106000,109700,99600,95100,99700,116800,115800,104200,94100,95700,100600,110600,118200,115000,120700,100300,95500,92100,100200,107300,104700,102800,103600,96500,111500,113100,115900,118700,102600,106500,100300
2278,Franklin County,Kansas,1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88800,101300,99900,104800,114500,98700,85100,75600,90400,90100,93500,88000,92100,100900,99100,98600,85100,93600,104600,108600,109600,104800,104800,106600,103700,108200,106100,108000,104000,105700,107000,103500,105900,92700,101000,108700,122400,126100,124700,120900,120500,114800,128500,137300,140500,135000,126300,117200,114600,114100,119600,125400,128900,130100,122200,132200,119400,121200,123400,142200,151100,143400,144600,136200,138300,133500,135600,128100,120600,132400,140900,155200,143900,151900,143500,146300,137700,143400,136800,135100,144900,161400
2187,Cherokee County,Alabama,1115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131000,122300,139300,139900,142800,137200,130500,118600,118600,107400,111800,118600,133400,137800,140200,160700,160500,160200,138100,136600,134300,133900,136000,131900,139700
688,Posey County,Indiana,1116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95700,91900,96000,95300,105800,117300,126100,138000,136700,127300,111300,99100,105000,103600,121100,111400,105600,108300,116300,126900,126700,126400,118100,113200,107300,110100,104700,105800,102400,97500,101700,110200,113300,115800,111300,104800,110300,112100,112700,107100,109300,111300,112100,110200,122800,128100,129100,125600,117000,117000,116500,117600,120100,134000,126500,125000,114200,118500,123800,120900,130400,121900,130300,146400,156300,148300,141500,140400,132800,119000,112700,123600,129800,135600,142900,142800,142000,146400,146800,141400,125800,131200,146300,156500,151200,145400,134700,130200,121100,120300,126900,138300,125900,130000,122800,147300,141300,152300,147600,158800,147400,149300,155400,156800
809,White County,Tennessee,1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87000,84600,79300,80000,74000,72000,64100,70300,66000,74700,70600,75100,74300,77100,79700,79000,83000,87400,87100,76000,73300,75600,81800,85900,78600,78300,69600,69400,71700,75100,81300,73500,74700,74900,83800,86400,85500,92900,89100,90800,82700,85400,84300,88900,90900,88600,83100,80800,82500,87700,93500,95400,93900,96500,103100,99400,96000,85300,86200,84500,95000,97500,103600,99300,104200,96200,95800,100000,103200,110200,102300,106400,104000,100100,98000,102600,106600,108800,106900,111400,120700,118000,126800,114200,124600,116000,125200,123800,122300,120600,111500,115400,106200,116700,118000,127600,125600,137500,139900,140700,122800,127300,124500,134700,135700,140200,122600
774,Union County,Oregon,1118,116300,134200,131200,128000,110400,117300,122500,135300,129800,136300,138100,136100,145700,146800,152200,130500,117800,115800,127200,141000,149800,146300,146000,136300,134200,138700,138200,143700,135700,132900,130200,135200,122000,122400,122900,135700,156100,148200,141300,117600,115600,118700,119900,127000,136600,138000,142200,149900,156200,159300,152800,146200,126900,134300,135900,136600,135000,131500,147200,137100,146400,149900,157500,157300,152300,146800,150100,147700,147700,147700,140600,151700,149300,162400,149700,143800,138900,150700,150300,147500,141200,139500,139700,175000,171500,168000,133800,150500,161500,154800,145400,137100,155100,155700,161500,147700,147200,158700,157200,158400,148500,148500,155100,162800,166000,162600,160500,169100,175400,165100,167400,163100,169600,163100,157900,161100,163400,168900,170300,161500,166800,159200,162600,161500,153100,166100,171400,187600,174100,178200,179400,193400,197100,211700,218300,221000,210200,200700,178700,190000,187400,189600,186000,188600,218000
1664,Decatur County,Indiana,1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105400,99500,102600,107300,105000,111200,108800,110000,114300,110100,121100,118900,112400,95700,94700,98800,102000,98400,99100,114600,108600,110100,95200,104500,107700,100700,97800,99000,115400,118100,116400,111500,110100,107800,105000,105400,115500,136100,129000,120000,99800,112200,123200,130100,139500,136700,134400,115100,118400,117300,131800,130000,136600,128900,122700,114600,115000,123400,125000,131300,124400,133600,134100,132100,121700,119200,121200,122300,122000,124300,128900,126700,123000,129000,137400,138200,129400,135300,136400,141500,140300,140400,149700,140800,153500,159600,164100,161200
