"RegionID","RegionName","State","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12"
3101,"Los Angeles County","CA",1,4.99984363761453,4.68896530165677,4.65116279069767,5,4.98098859315589,4.95238095238095,4.76310688032782,4.60674157303371,4.34877147205914,4.52173913043479,4.31654676258992,4.25531914893616,4.27350427350427,4.34782608695652,4.41826215022091,4.76606564290966,4.39617584703388,4.36681222707423,4.35484432883139,4.23076923076923,4.07438848016098,4.00801603206413,4.00001866679822,3.95197598799399,3.88461538461539,4.00667779632721,3.74483866189482,3.84698612903021,3.84763370527126,3.86100386100386,4.01606425702812,4.00058675343516,3.97846364883402,3.71747211895911,3.64630028977694,3.34168988447859,3.39983281448173,3.41296928327645,3.37580294102033,3.46020761245674,3.22684737011939,3.22927879440258,3.23101777059773,3.23101777059773,3.09278350515464,3.12565117732861,3.14285714285715,2.98981781586231,3.075452272393,3.13070723109242,3.17216866296621,3.1610865445357,3.17460317460317,3.06060606060606,3.08192793971758,3.33444481493831,3.23693864993778,3.27868852459017,3.22765415772923,3.12556976744224,3.17195325542571,3.1912016846369,3.21184510250569,3.07797906050845,3.33889816360601,3.06406685236769,3.11219402213232,3.0327538643698,3.13070723109242,3.12695434646654,3.05885042082663,2.9799353653114,3.05675833776104,2.95247724974722,2.94550810014728,2.80675608544461,2.98953662182362,2.86298568507157,2.93660765276985,2.94420784642444,3.14991688501958,3.04347826086957,2.98507462686567,2.81402471270447,2.77822795509275,2.83853193912585,2.77854959711031,2.77971024463891,2.89855072463768,2.86123032904149,2.94117647058824,2.88416715715126,2.81566181566182,2.85850404954741,2.77777777777778,2.70343336036767,2.82456215392728,2.87720508524688,2.80561122244489,2.63852242744064,2.70764228351955,2.68456375838926,2.64650283553876,2.72023435865244,2.77816363383804,2.78164116828929,2.75461653994518,2.73224043715847,2.66654044410785,2.8269029464695,2.72727272727272,2.54022197367289
139,"Cook County","IL",2,4.962041959641,4.80769230769231,5,5.26592943654555,5.66371681415929,5.34521158129176,5.0035739814153,4.76839237057221,4.71398305084746,4.68227424749164,4.78468899521531,4.76353332314748,4.81099656357389,5,5.26592943654555,5.66037735849056,5.26592943654555,5.0314465408805,4.76417341591234,4.73684210526316,4.78178053830228,4.63772509016786,4.76644423260247,4.92063492063493,4.91869381279746,4.96832277425808,5.1150895140665,5.88581518540318,5.02911799559844,5.00250125062531,4.83863219006415,4.44642063139173,4.38047260294696,4.29793330488326,4.35161009573543,4.15704387990762,4.13333333333333,4.16840350145894,4.66977985323549,6.00301976460688,5.27704485488126,5.03413668543187,4.5475216007276,4.00320256204964,3.76569037656904,3.61881785283474,3.75,3.80954213158907,3.75469336670838,3.88349514563107,4.16863809829672,4.96969696969697,4.66666666666666,4.44444444444444,3.84615384615384,3.61204174988725,3.48618932689729,3.43347639484979,3.51351351351351,3.44887049491291,3.57270453733476,3.4487515519382,3.63636363636364,4.15392058262185,3.70507595405706,3.57250883005099,3.50877192982456,3.30188679245284,3.2258064516129,3.16455696202531,3.12501953137208,3.18906605922551,3.13479623824452,3.17460317460317,3.17460317460317,3.63636363636364,3.33407423871972,3.06435137895812,3.02158273381294,2.98376538360827,3.03490136570561,2.95610630038817,2.94437886846666,3.00507564092642,2.94204177699323,2.85877644368211,2.82685512367491,2.94985250737463,2.98507462686567,2.99065420560748,2.86561604584528,2.82131661442007,2.80561122244489,2.8411214953271,2.8943966322462,2.80542056289662,2.83687943262412,2.85795941697627,2.87039721658452,2.98607741821725,2.93725490196078,2.85795941697627,2.74010143518397,2.81081081081082,2.8125,2.82243658449446,2.77932184546971,2.77854959711031,2.85877644368211,2.77777777777778,2.77854959711031,2.85714285714286
1090,"Harris County","TX",3,4.21217962447348,4.16666666666666,4.16487839771101,4.45859872611465,4.34971726837755,4.36601480918929,4.04143517659238,4.0016006402561,3.84615384615384,3.75991721283201,3.65984930032293,3.84911470361817,3.88349514563107,4,4.0016006402561,4.35161009573543,4.11522633744856,4.03337969401947,3.78690629011553,3.70452701325343,3.67965367965368,3.57575757575758,3.57142857142857,3.6354542423232,3.70644922164566,3.77358490566038,3.81966001478197,3.80915736821854,3.70384088807676,3.34346504559271,3.33333333333333,3.2258064516129,3.35820895522388,3.2258064516129,3.34210804822956,3.33444481493831,3.37078651685393,3.25271059216014,3.33555703802535,3.51306821412972,3.49797578432505,3.25946704067321,3.23023603183125,3.2,3.125,3.09184629803186,3.125,3.125,3.09859154929577,3.22788896061975,2.92887029288703,3.25711680020846,3.33333333333333,3.10741636706272,3.0550792095378,3.24324324324324,3.03030303030303,3.14131583049028,2.99942940840828,3.06594996105695,3.09090909090909,3.00970873786408,3.03122158229766,3.08268226957094,3.07150050352467,3.11286478903248,3.05970149253731,2.94204177699323,2.94550810014728,2.89855072463768,2.84825507034533,2.92229825040297,2.860114759737,2.92731707317073,2.85714285714286,2.91352970669561,2.92900937818142,2.91281553398058,2.78637770897833,2.77932184546971,2.72373540856031,2.73972602739726,2.7027027027027,2.77781635856054,2.8507050531552,2.86451673060529,2.77750771529921,2.90192946962066,2.85714285714286,2.85714285714286,2.7562489420527,2.70526217953456,2.73639404074186,2.7027027027027,2.70416441319632,2.7264770738139,2.69188795925791,2.71002710027101,2.67857142857143,2.68456375838926,2.63157894736842,2.62241566920566,2.5727826675694,2.63157894736842,2.50104210087536,2.50125062531266,2.49728073500927,2.45122561280641,2.44390243902439,2.50006250156254,2.50062515628907,2.5062656641604
2402,"Maricopa County","AZ",4,5.26870389884089,5.0125313283208,5.02222924776226,5.49115314215985,5.28760790866054,5.15698574847864,5.18387239698716,4.96453900709219,4.86772486772487,4.79556911541836,4.68227424749164,4.44444444444444,4.16840350145894,4.16666666666666,4.08673894912427,4.16840350145894,4.11816825703378,3.78787878787878,3.54056047197641,3.57142857142857,3.25538755414458,3.07692307692308,3.05777487693251,3.09090909090909,3.07692307692308,3.04347826086957,2.94290759270159,3.15111685852472,3.12439452368154,2.94161777436065,2.97227779365533,2.85795941697627,2.6527446072261,2.53547336589904,2.47979938701588,2.38095464852823,2.40071973521041,2.4390243902439,2.41318422601531,2.36333253759847,2.50062515628907,2.44011550283607,2.35391050707358,2.29357798165137,2.22721353017191,2.17485863418878,2.13622923856517,2.03703703703704,2.09804195804196,2.12856534695615,2.22222222222223,2.22222222222223,2.29931572364065,2.29050279329609,2.17864923747276,2.07772220084648,2.0231822971549,2,1.96154600597519,1.93050193050193,1.96153846153846,2.00400801603207,1.96506550218341,2.00343462318056,2.01511335012594,2.05811989867717,2.0458040805574,1.9672131147541,1.91983122362869,1.82149362477231,1.72881355932203,1.81548721748795,1.7247326664367,1.7862459065198,1.74447174447174,1.56432982146585,1.81548721748795,1.8875047187618,1.92307692307693,1.82481751824818,1.78571428571429,1.68032786885246,1.60741226631682,1.58780565258813,1.6134236850597,1.66338877962598,1.50780952118447,1.38333333333334,1.66666666666667,1.73160173160173,1.73410404624278,1.71831995866331,1.54061804485534,1.53893505694059,1.51515151515151,1.47826086956522,1.47922911460658,1.59659393294306,1.45105208627536,1.26934274405869,1.46312332039414,1.47102088849662,1.56826104049272,1.549488361344,1.49253731343284,1.43266475644699,1.4494854326714,1.48148148148148,1.56504697638476,1.53226983951054,1.49253731343284,1.52922311122989
2841,"San Diego County","CA",5,4.57286432160804,4.26439232409381,4.29184549356223,4.5475216007276,4.36241610738255,4.34782608695652,4.13793103448276,4.00765100328161,3.84615384615384,4.000008000016,3.86286908026038,3.79746835443038,3.86100386100386,3.90108023642911,3.94814767781785,3.9380245319561,4.00058675343516,3.7328094302554,3.84715380890543,3.70370370370371,3.5213737967042,3.4032515021297,3.45224395857308,3.37695290226936,3.44851370700358,3.43102391171061,3.2258064516129,3.63636363636364,3.33333333333333,3.45423143350605,3.33361115741512,3.22684737011939,3.2869523350987,3.23874247347555,3.11858999078671,3.03030303030303,2.85714285714286,2.89473684210526,2.85714285714286,2.89100896212778,2.74154442962783,2.88551337020236,2.85877644368211,2.8169014084507,2.79394644935972,2.8169014084507,2.82131661442007,2.66968854282536,2.66666666666666,2.70709575673366,2.7800953826998,2.70416441319632,2.8799694555136,2.85714285714286,2.68886234262985,3.03030303030303,3.00689406909138,2.94329643946307,2.91909385113268,2.81577943497415,2.77970861390555,2.77816363383804,2.88404944084756,2.92229825040297,2.85714285714286,2.85714285714286,2.90065417218822,2.83863368669023,2.93578970049558,2.78551532033426,2.86123032904149,2.85714285714286,2.87546143384496,2.90275761973875,3.08166409861325,2.69831891129493,2.72904483430799,2.94225587311912,2.80313510051404,2.70331156214455,2.75036188972233,2.4837472912152,2.54837802978958,2.47349823321554,2.32558139534884,2.37659963436929,2.24489795918368,2.28838009372849,2.50020836806135,2.40601503759399,2.32612235403582,2.39130434782608,2.4,2.32792805551622,2.30769230769231,2.26277372262774,2.17556859892247,2.31083603528484,2.35294117647059,2.2271714922049,2.22233333333334,2.1728753761544,2.218782249742,2.22469410456062,2.19092331768388,2.20051589872737,2.23776223776224,2.19051203115906,2.14525407478428,2.24018475750577,2.19223585239033,2.0879006386853
1286,"Orange County","CA",6,4.16666666666666,3.70713623725671,3.66336959172569,4.16666666666666,3.86100386100386,3.82469346577681,3.83550278104156,3.73961218836565,3.65519157859829,3.67309767943875,3.72593148287071,3.66473988439306,3.67631957280756,3.69019054340156,3.74302954640033,4.01516332378223,3.78310364773724,3.55994624570476,3.6697247706422,3.48966005080759,3.33889816360601,3.33333333333333,3.38983050847458,3.32044272569676,3.05248043869263,3.06542646137615,3.19148936170213,3.33444481493831,3.22632682690757,3.48837209302325,3.43195266272189,3.31797235023041,3.36280117871381,3.13479623824452,2.89473684210526,2.78260869565218,2.73140571012911,2.76877488656357,2.56894957934029,2.58945443462359,2.6829268292683,2.66720011854697,2.55319148936171,2.63180982813236,2.54440710513683,2.5182296836435,2.56267409470752,2.50006250156254,2.50696937486211,2.45864324983209,2.4991874932291,2.55195158628278,2.45906461512348,2.49206827773242,2.61865793780688,2.61242179113995,2.50365126692171,2.53324990775056,2.43932186852055,2.37529800611528,2.45122561280641,2.41368093526544,2.43908804301302,2.27583256419101,2.45901639344263,2.28571428571429,2.53196607165463,2.46843294180666,2.54777070063694,2.46146994439876,2.47489385860979,2.28034430119663,2.40885416666666,2.37264480111654,2.25571618989029,2.10526315789473,2.35294117647059,2.43519965940091,2.3872554088679,2.44897959183673,2.4519267129165,2.32558139534884,2.29182582123758,2.22605518375527,2.25341196593379,2.17703160685844,2.30149597238205,2.18532192871809,2.30771539264109,2.35714285714286,2.4024024024024,2.30761661659923,2.31967771012307,2.28545454545455,2.2991148407863,2.27272727272727,2.24489795918368,2.24870744831879,2.22493887530563,2.34375,2.35294117647059,2.26739640344019,2.25648740127867,2.27531285551763,2.21084277902359,2.17899853177986,2.23703703703704,2.14278724479811,2.17391304347826,2.1772025124917,2.12244897959184,2.08166666666667
581,"Kings County","NY",7,4.76947535771065,4.34782608695652,4.81927710843374,4.36681222707423,4.96487825899591,5.26315789473685,4.77326968973747,4.16666666666666,4.44444444444444,4.80961923847696,5.00834724540902,5,4.68904593639576,5.20446096654275,4.44444444444444,4.57286432160804,5.0251256281407,4.77326968973747,4.43667443667444,4.76644423260247,4.18410041841004,4.37259739049772,3.86750854072725,4.50887222560716,4.22668009100022,4.54545454545454,4.68394350747292,4.77326968973747,4.92063492063493,4.55753958637689,5.07936507936508,4.35729847494554,4.5662100456621,4.89164941338854,4.84429065743944,4.43779108449767,4.37158469945356,4.40880958122338,4.45186559676552,5.12820512820513,4.81344967654581,4.55686582319485,4.11805272916384,4.35256228095103,4.27012719652967,4.51612903225806,4.16753490310481,4.42319530984805,4.44444444444444,4.4543429844098,4.44444444444444,3.92156862745098,4.57286432160804,4.34782608695652,3.93853405901599,4,4.49486271793221,4.04722904722905,3.85829307568438,4.54545454545454,4.5345802522836,4.17014178482068,4.00667779632721,4.26666666666666,4.14094650205761,4.00320256204964,4.08673894912427,4.01606425702812,4.00228289981671,4.24828767123287,4.26439232409381,3.31797235023041,4.12979351032449,4.43135329733267,4.086302713305,4.43961434648592,3.45163276045235,3.63636363636364,3.50672241351041,3.44827586206896,4.00534045393859,3.85542168674698,4.04040404040404,3.75469336670838,4.3566561116975,3.85185185185185,3.42857142857143,3.33333333333333,3.36817144180507,3.6144578313253,3.73887684139684,3.85692450156754,3.76914539400666,4.00080032012805,3.5483870967742,3.62977602108037,4.00080032012805,3.84615384615384,3.58974358974359,3.85924686977319,3.7200967783499,3.87722132471728,3.71747211895911,3.77939691242245,3.61881785283474,3.70851218039611,3.40986605481831,3.36842105263158,3.56177606177606,3.4483448275862,3.34168988447859,3.36134453781513
2964,"Miami-Dade County","FL",8,7.40740740740741,7.00870387483613,6.78321678321678,6.95115870710399,6.86440677966101,6.81818181818182,6.67000185296366,6.21242484969939,6.21949074442959,6.25000390625488,6.52457590256633,6.00000000000001,6.15384615384615,6.15224191866528,5.78947368421052,5.84905660377358,5.78947368421052,5.76923076923077,5.88235294117647,5.56173526140156,5.26315789473685,5.53456323627473,5.66037735849056,5.27305289664642,5.26315789473685,5.29100529100529,5.06329113924051,5.71428571428572,5.06329113924051,5.55555555555556,4.85714285714286,5.08279192982736,5.00250125062531,4.76644423260247,5.14790144678413,5.05334241289297,4.77611940298508,4.77459771784987,4.95238095238095,5.20156046814044,5.10204081632653,4.65224495979742,4.4449383813687,4.54545454545454,4.41529772655601,4.4490892803822,4.25531914893616,4.41371231388072,4.18410041841004,4.16666666666666,3.91566265060241,4.16264462809917,4.00363967242948,3.75965785453631,3.84615384615384,4,3.84911470361817,3.81578313193235,3.88179566748225,3.70644922164566,3.63636363636364,3.67496937525521,3.67272727272727,4.03899721448467,4,3.95256916996047,3.92857142857143,3.75335120643432,3.6697247706422,3.77358490566038,3.584229390681,3.63636363636364,3.6697247706422,3.46020761245674,3.48918353105373,3.66586387550903,3.48918353105373,3.41296928327645,3.5483870967742,3.50877192982456,3.53982300884956,3.39869281045752,3.48837209302325,3.3826161357275,3.50877192982456,3.46020761245674,3.38709677419354,3.44827586206896,3.57206655438166,3.41880341880342,3.42896331009258,3.37078651685393,3.29032258064517,3.13479623824452,3.19747235647023,3.17460317460317,3.23624595469255,3.26086956521739,3.24324324324324,3.57589947330128,3.36960378474275,3.34906720611373,3.17460317460317,3.26530612244897,3.23232323232323,3.17460317460317,3.25329202168861,3.1578947368421,3.16212536081862,3.18320954844221,3.33333333333333,3.125
978,"Dallas County","TX",9,4.44642063139173,4.41692328290266,4.36978604185253,4.76644423260247,4.63919575608631,4.47865640307907,4.21052631578948,4.03853278992219,3.97245913010578,3.85356454720617,3.84763370527126,4,3.96158463385354,4.07407407407407,4.16666666666666,4.68227424749164,4.16840350145894,4.00320256204964,3.95348837209303,3.86228853789287,3.57398141529665,3.46020761245674,3.5573177120541,3.70438982888038,3.54330708661418,3.70507595405706,3.59649122807018,3.79885134700889,3.94736842105263,3.50584307178631,3.26840987673699,3.22788896061975,3.34560053529609,3.28467153284672,3.26303329550197,3.22788896061975,3.33333333333333,3.35195530726257,3.33361115741512,3.59712230215827,3.45065562456867,3.3505584264044,3.22736816536957,3.2258168575073,3.09090909090909,3.2355661019315,3.183885640026,3.125,3.16206783426022,3.12249799839872,3.31100193746743,3.33488974867392,3.33611342785655,3.55294117647059,3.33388898149691,3.45217239627177,3.33722760081568,3.24324324324324,3.22754168908015,3.33555703802535,3.17460317460317,3.2258064516129,3.3567662565905,3.08166409861325,3.12989045383412,3.36417157275021,3.26349929873773,3.07929176289453,3.04182509505704,3.02539962734137,2.98507462686567,2.87769784172662,2.98059611922384,3.02719343252951,2.85877644368211,2.63157894736842,2.75004611433517,2.77128734740872,2.7850228535373,2.78551532033426,2.96258464797791,2.81081081081082,2.70709575673366,2.85734696793419,2.77932184546971,2.82175889637875,2.62364166445799,2.44897959183673,2.61693451667067,2.77926162332459,2.83333333333333,2.72952418718113,2.68184161263192,2.66666666666666,2.55164128202147,2.45122561280641,2.50062515628907,2.43976822201891,2.55070698309117,2.4,2.53509292524088,2.49959374661455,2.50031257814454,2.50062515628907,2.50062515628907,2.38095238095238,2.35294117647059,2.39234449760766,2.4837472912152,2.41102609005546,2.53164556962026,2.38095238095238
1347,"Queens County","NY",10,4.10224609941214,4.16,4.18410041841004,4.34783868938751,4.36681222707423,4.77326968973747,4.99952499762499,4.60269966444372,4.45351657569284,4.92632719393283,5.21332280147446,4.62249614791987,4.56100935084927,4.44444444444444,4.78723404255319,5.17192834266005,4.78468899521531,5.04741705995121,4.18410041841004,4.00801603206413,3.8900084254429,4.08163265306123,3.86598580146967,4.08805031446541,4,4.16,4.15312137258587,4.22163588390502,4.41497332273811,4.18410041841004,4.00089219896037,3.95701595904848,4.05146085029325,3.86100386100386,3.76205218929677,3.93013100436681,3.78151260504201,3.57782898105479,3.98550724637681,3.63308782767087,3.76610878661088,3.87096774193548,3.63636363636364,3.584229390681,3.71747211895911,3.93013100436681,3.3886141253086,4.01606425702812,3.73797347664038,3.70782554660181,3.60663082437276,3.66300366300366,3.46322682786414,3.54963733536935,3.36842105263158,4.01606425702812,3.92156862745098,3.57142857142857,3.70277731458322,3.53889943074004,3.58181978487039,3.69477911646586,3.87224950331747,3.66107899807322,3.5483870967742,3.584229390681,3.67554983831761,3.85356454720617,3.41491288765189,3.5778175313059,3.64298724954463,3.45423143350605,3.8939978939979,3.74716912763838,3.6697247706422,3.42857142857143,3.38846364133406,3.21107674178819,3.10378565515165,3.54497944369063,3.3955857385399,3.33583523294095,3.62661708470426,3.64298724954463,3.54612838691239,3.50877192982456,3.46020761245674,3.48448977114065,3.28948696383515,3.29309411359037,3.5778175313059,3.3333703707819,3.45517241379311,3.34510325620718,3.49951749758749,3.33692142088267,3.36842105263158,3.40812296732229,3.4052257266543,3.3955857385399,3.23101777059773,2.99103139013453,3.08166409861325,3.22849700074878,3.22903670251843,3.44827586206896,3.2935628742515,3.14151957993294,3.125,3.23624595469255,3.23825200960434,3.1746056941335
